Species,Host,Year,Location,Region,Haplogroup,coord.X,coord.Y,Coord.type,Description
Vdestructor,Acerana,2013,Viet Nam,Cat Ba,China C1,20.793859,106.989642,exact,Year: 2013 Ref: Beaurepaire et al. (2015)
Vdestructor,Acerana,2001,China,"Zhuhai, Guangdong Prov",China C1,22.61401,112.63183,approximate,"Year: 2001 Ref: Navajas et al. (2010), Zhou et al. (2004)"
Vdestructor,Acerana,1996,China,Guangzhou,China C1,23.12911,113.26438,approximate,Year: 1996 Ref: Anderson and Trueman (2000)
Vdestructor,Acerana,2002,China,"Zhongshan, Guangdong Prov.",China C1,23.94609,114.69726,approximate,Year: 2002 Ref: Zhou et al. (2004)
Vdestructor,Acerana,2002,China,"Zhongshan, Guangdong",China C1,24.03474,113.07061,approximate,Year: 2002 Ref: Navajas et al. (2010)
Vdestructor,Acerana,2002,China,"Mongzi Co., Yunnan Prov.",China C2,24.28891,100.94184,approximate,Year: 2002 Ref: Zhou et al. (2004)
Vdestructor,Acerana,2002,China,"Kunming, Yunnan Prov.",China C2,25.12565,102.74318,approximate,Year: 2002 Ref: Navajas et al. (2010)
Vdestructor,Acerana,2002,China,"Dayao Co., Yunnan Prov.",China C2 & C3,25.49165,100.28198,approximate,"Year: 2002 Ref: Navajas et al. (2010), Zhou et al. (2004)"
Vdestructor,Acerana,1997,Thailand,Bangkok,Japan,13.77083,100.79417,approximate,Year: 1997 Ref: Anderson and Trueman (2000)
Vdestructor,Acerana,2005?,Japan,Yatsuhiro,Japan,32.475797,130.607262,approximate,Year: 2005? Ref: Solignac et al. (2005)
Vdestructor,Acerana,1996,Japan,Shikoku,Japan,33.74322,133.63753,approximate,Year: 1996 Ref: Navajas et al. (2010)
Vdestructor,Acerana,1994,Japan,"Honshu, Tamagawa",Japan,35.56704,139.46836,approximate,"Year: 1994 Ref: Anderson and Trueman (2000), Navajas et al. (2010)"
Vdestructor,Acerana,2004,China,Hunan Prov.,Korea,28.21266,113.01059,approximate,Year: 2004 Ref: Navajas et al. (2010)
Vdestructor,Acerana,2004,China,"Nanchang, Jiangxi Prov.",Korea,28.68289,115.85819,approximate,Year: 2004 Ref: Navajas et al. (2010)
Vdestructor,Acerana,1996,"Korea, Republic of",Kwangju,Korea,35.15954,126.8526,approximate,Year: 1996 Ref: Anderson and Trueman (2000)
Vdestructor,Acerana,1996; 1997,"Korea, Republic of",Suwon,Korea,37.26357,127.0286,approximate,Year: 1996; 1997 Ref: Anderson and Trueman (2000)
Vdestructor,Acerana,1999?,Viet Nam,Moc Chau,Korea & Vietnam,20.92208,104.75209,approximate,Year: 1999? Ref: Fuchs et al. (2000) 
Vdestructor,Acerana,1998; 2005?,Japan,Machida,Korea & Japan,35.54663,139.43861,approximate,"Year: 1998; 2005? Ref: Navajas et al. (2010), Solignac et al. (2005)"
Vdestructor,Acerana,1997,Nepal,Katmandu,Nepal,27.71724,85.32396,approximate,Year: 1997 Ref: Anderson and Trueman (2000)
Vdestructor,Acerana,2003,Thailand,Bang Changtay,Vietnam,13.7137,100.204369,approximate,Year: 2003 Ref: Navajas et al. (2010)
Vdestructor,Acerana,1999?,Viet Nam,Vu Quang,Vietnam,18.387901,105.486822,approximate,Year: 1999? Ref: Fuchs et al. (2000) 
Vdestructor,Acerana,2003,Thailand,Chiang Mai,Vietnam,18.80596,98.95336,approximate,Year: 2003 Ref: Navajas et al. (2010)
Vdestructor,Acerana,2001,Thailand,"Mae Sruy, Chiang Rai",Vietnam,19.5833333,99.46666667,exact,Year: 2001 Ref: Warrit et al. (2006)
Vdestructor,Acerana,2001,Thailand,"Mueang, Chiang Rai",Vietnam,20,99.95,exact,Year: 2001 Ref: Warrit et al. (2006)
Vdestructor,Acerana,2001,Thailand,"Chiang San, Chiang Rai",Vietnam,20.2666667,100,exact,Year: 2001 Ref: Warrit et al. (2006)
Vdestructor,Acerana,1996,Viet Nam,"Phjong, Ninh Binh Prov.",Vietnam,20.30896,105.64215,approximate,Year: 1996 Ref: Anderson and Trueman (2000)
Vdestructor,Acerana,1996; 1999?,Viet Nam,Hanoi,Vietnam,21.00555,105.84346,approximate,"Year: 1996; 1999? Ref: Fuchs et al. (2000), Navajas et al. (2010)"
Vdestructor,Acerana,2013,Viet Nam,Son La,Vietnam,21.19,103.54,exact,Year: 2013 Ref: Beaurepaire et al. (2015)
Vdestructor,Acerana,2013,Viet Nam,Dien Bien,Vietnam,21.23,103.01,exact,Year: 2013 Ref: Beaurepaire et al. (2015)
Vdestructor,Acerana,2001,China,"Xishuangbann, Yunnan Prov.",Vietnam,24.16863,103.84371,approximate,Year: 2001 Ref: Zhou et al. (2004)
Vdestructor,Acerana,2002,China,"Xishuanbanna, Yunnan Prov.",Vietnam,25.1014,102.35185,approximate,"Year: 2002 Ref: Navajas et al. (2010), Zhou et al. (2004)"
Vjacobsoni,Acerana,1997,Indonesia,"Ambon, Ambon",Ambon,-3.63217,128.24983,approximate,Year: 1997 Ref: Anderson and Trueman (2000)
Vjacobsoni,Acerana,1997,Indonesia,"Ambon, Paso",Ambon,-3.62629,128.24701,approximate,Year: 1997 Ref: Anderson and Trueman (2000)
Vjacobsoni,Acerana,1998,Indonesia,"Bali, Ubud",Bali,-8.50685,115.26247,approximate,Year: 1998 Ref: Anderson and Trueman (2000)
Vjacobsoni,Acerana,1993,Malaysia ,"Borneo, Sabah",Borneo,5.95935,116.1158,approximate,Year: 1993 Ref: Anderson and Trueman (2000)
Vjacobsoni,Acerana,1998,Indonesia,"Flores, Labuhan Bajo",Flores,-8.49238,119.89017,approximate,Year: 1998 Ref: Anderson and Trueman (2000)
Vjacobsoni,Acerana,1998,Indonesia,"Timor, Loli",Java,-9.66056,124.5266,approximate,Year: 1998 Ref: Anderson and Trueman (2000)
Vjacobsoni,Acerana,1996; 1998,Indonesia,"Java, Malang",Java,-7.96662,112.63263,approximate,Year: 1996; 1998 Ref: Anderson and Trueman (2000)
Vjacobsoni,Acerana,1994,Indonesia,"Java, Yogyakarta",Java,-7.811591,110.364121,approximate,Year: 1994 Ref: Anderson and Fuchs (1998)
Vjacobsoni,Acerana,1997,Indonesia,"Java, Sukabumi",Java,-6.92387,106.93156,approximate,Year: 1997 Ref: Anderson and Fuchs (1998)
Vjacobsoni,Acerana,1991; 1995,Indonesia,"Java, Pekalongan",Java,-6.895258,109.673911,approximate,Year: 1991; 1995 Ref: Anderson and Fuchs (1998)
Vjacobsoni,Acerana,1993; 1995; 1998,Papua New Guinea,Lae,Java,-6.718396,146.997371,approximate,"Year: 1993; 1995; 1998 Ref: Anderson and Fuchs (1998), Anderson and Trueman (2000)"
Vjacobsoni,Acerana,1991; 1995; 1996; 1998,Indonesia,"Java, Parung  Panjang",Java,-6.3681,106.55338,approximate,Year: 1991; 1995; 1996; 1998 Ref: Anderson and Trueman (2000)
Vjacobsoni,Acerana,1993; 1995; 1998,Papua New Guinea,PNG + Irian Jaya (Aiyura),Java,-6.34334,145.90809,approximate,Year: 1993; 1995; 1998 Ref: Anderson and Trueman (2000)
Vjacobsoni,Acerana,1996,Papua New Guinea,Kainantu,Java,-6.286865,145.863836,approximate,Year: 1996 Ref: Anderson and Fuchs (1998)
Vjacobsoni,Acerana,1993; 1995; 1998,Papua New Guinea,PNG + Irian Jaya (Goroka),Java,-6.08347,145.38626,approximate,Year: 1993; 1995; 1998 Ref: Anderson and Trueman (2000)
Vjacobsoni,Acerana,1992; 1993; 1995; 1998,Papua New Guinea,PNG + Irian Jaya (Oksapmin),Java,-5.225908,142.229391,approximate,"Year: 1992; 1993; 1995; 1998 Ref: Anderson and Fuchs (1998), Anderson and Trueman (2000)"
Vjacobsoni,Acerana,1993; 1994,Papua New Guinea,Telefomin,Java,-5.12543,141.639362,approximate,Year: 1993; 1994 Ref: Anderson and Fuchs (1998)
Vjacobsoni,Acerana,1997,Indonesia,"Sulawesi, Ujung Pandang",Java,-5.1192,119.43461,approximate,Year: 1997 Ref: Anderson and Trueman (2000)
Vjacobsoni,Acerana,1991,Indonesia,"Irian Jaya, Wamena",Java,-4.101567,138.944257,approximate,Year: 1991 Ref: Anderson and Fuchs (1998)
Vjacobsoni,Acerana,1991; 1993; 1995; 1998,Papua New Guinea,PNG + Irian Jaya (Vanimo),Java,-2.697426,141.300805,approximate,"Year: 1991; 1993; 1995; 1998 Ref: Anderson and Fuchs (1998), Anderson and Trueman (2000)"
Vjacobsoni,Acerana,1993; 1995; 1997; 1998,Indonesia,"Irian Jaya, Koya Timur",Java,-2.690969,140.845851,approximate,"Year: 1993; 1995; 1997; 1998 Ref: Anderson and Fuchs (1998), Anderson and Trueman (2000)"
Vjacobsoni,Acerana,1995,Indonesia,"Irian Jaya, Jayapura",Java,-2.607504,140.67724,approximate,Year: 1995 Ref: Anderson and Fuchs (1998)
Vjacobsoni,Acerana,1995; 1996; 1997; 1998,Indonesia,"Yapen, Serui",Java,-1.87801,136.23666,approximate,"Year: 1995; 1996; 1997; 1998 Ref: Anderson and Fuchs (1998), Anderson and Trueman (2000)"
Vjacobsoni,Acerana,1995; 1996; 1997,Indonesia,"Irian Jaya, Biak island",Java,-1.175351,136.071908,approximate,"Year: 1995; 1996; 1997 Ref: Anderson and Fuchs (1998), Anderson and Trueman (2000)"
Vjacobsoni,Acerana,1996,Indonesia,"Sulawesi, Palu",Java,-0.8679,119.90465,approximate,Year: 1996 Ref: Anderson and Trueman (2000)
Vjacobsoni,Acerana,1998,Indonesia,"Lombok, Kuta",Lombok,-8.88027,116.28361,approximate,Year: 1998 Ref: Anderson and Trueman (2000)
Vjacobsoni,Acerana,1998,Indonesia,"Lombok, Mataram",Lombok,-8.57699,116.10048,approximate,Year: 1998 Ref: Anderson and Trueman (2000)
Vjacobsoni,Acerana,1995,Malaysia ,Kluang,Malaysia,2.03006,103.31846,approximate,Year: 1995 Ref: Anderson and Trueman (2000)
Vjacobsoni,Acerana,1989; 1995,Malaysia ,"UPM, Serdang",Malaysia,2.99315,101.71587,approximate,Year: 1989; 1995 Ref: Anderson and Trueman (2000)
Vjacobsoni,Acerana,2001,Thailand,"Si Kao, Trang",Malaysia,7.5166667,99.4,exact,Year: 2001 Ref: Warrit et al. (2006)
Vjacobsoni,Acerana,2001,Thailand,"Krasay Sin, Songkla",Malaysia,7.58248,100.28573,exact,Year: 2001 Ref: Warrit et al. (2006)
Vjacobsoni,Acerana,2001,Thailand,"Kra Tu, Phuket Island",Malaysia,7.9,98.35,exact,Year: 2001 Ref: Warrit et al. (2006)
Vjacobsoni,Acerana,2001,Thailand,"Thasala, Nakhonsri Thammarat",Malaysia,8.7666667,99.91666667,exact,Year: 2001 Ref: Warrit et al. (2006)
Vjacobsoni,Acerana,2001,Thailand,"Ka Poe, Ranong",Malaysia,9.5833333,98.6,exact,Year: 2001 Ref: Warrit et al. (2006)
Vjacobsoni,Acerana,2001,Thailand,"Suan Pheng, Chumphon",Malaysia,10.0166667,99.05,exact,Year: 2001 Ref: Warrit et al. (2006)
Vjacobsoni,Acerana,2001,Thailand,"Sawee, Chumphon",Malaysia,10.3333333,99.06666667,exact,Year: 2001 Ref: Warrit et al. (2006)
Vjacobsoni,Acerana,2001,Thailand,"Tha Sae, Chum Phon",Malaysia,10.5666667,99.1,exact,Year: 2001 Ref: Warrit et al. (2006)
Vjacobsoni,Acerana,2001,Thailand,"Bang Sapan, Prachup Kiri Kan",Malaysia,11.4,99.51666667,exact,Year: 2001 Ref: Warrit et al. (2006)
Vjacobsoni,Acerana,2001,Thailand,"Tup Sa Kae, Prachup Kiri Kan",Malaysia & NorthThai,11.5166667,99.58333333,exact,Year: 2001 Ref: Warrit et al. (2006)
Vjacobsoni,Acerana,1997,Indonesia,"Java, Parung Panjang",NA,-6.34814,106.56935,approximate,Year: 1997 Ref: Roberts et al. (2015)
Vjacobsoni,Acerana,1997,Indonesia,"Java, Cililin",NA,-6.98345,107.43608,approximate,Year: 1997 Ref: Roberts et al. (2015)
Vjacobsoni,Acerana,1997,Indonesia,"Java, Malang",NA,-7.97585,112.62944,approximate,Year: 1997 Ref: Roberts et al. (2015)
Vjacobsoni,Acerana,1997,Indonesia,"Java, Yogyakarta",NA,-7.800308,110.369126,approximate,Year: 1997 Ref: Roberts et al. (2015)
Vjacobsoni,Acerana,1997,Indonesia,"Java, Kediri",NA,-7.820422,112.01211,approximate,Year: 1997 Ref: Roberts et al. (2015)
Vjacobsoni,Acerana,1997; 2008,Indonesia,"Papua, Wamena",NA,-4.100395,138.944408,approximate,Year: 1997; 2008 Ref: Roberts et al. (2015)
Vjacobsoni,Acerana,1997,Indonesia,"Papua, Jayapura",NA,-2.60167,140.674355,approximate,Year: 1997 Ref: Roberts et al. (2015)
Vjacobsoni,Acerana,2008,Indonesia,"Papua, Mulima",NA,-4.002918,138.95723,approximate,Year: 2008 Ref: Roberts et al. (2015)
