,Gene.id,gene.id,GO.ids
5071,111258611,X.1,GO:0046872
5207,111258614,X,GO:0005515
5208,111258614,X.1,GO:0051260
5344,111258615,X,GO:0004672
5345,111258615,X.1,GO:0005515
5346,111258615,X.2,GO:0005524
5347,111258615,X.3,GO:0006468
5481,111258616,X,GO:0005524
5482,111258616,X.1,GO:0072383
5483,111258616,X.2,GO:0003777
5484,111258616,X.3,GO:0000915
5485,111258616,X.4,GO:0008017
5618,111258617,X,GO:0016021
5619,111258617,X.1,GO:0005215
5620,111258617,X.2,GO:0055085
5755,111258618,X,GO:0035556
5892,111258619,X,GO:0004491
5893,111258619,X.1,GO:0055114
6029,111258620,X,GO:0016787
6166,111258621,X,GO:0007031
6167,111258621,X.1,GO:0045542
6168,111258621,X.2,GO:0008526
6169,111258621,X.3,GO:0008525
6170,111258621,X.4,GO:0006637
6171,111258621,X.5,GO:0003988
6172,111258621,X.6,GO:0000062
6173,111258621,X.7,GO:0046982
6174,111258621,X.8,GO:0071397
6175,111258621,X.9,GO:0005829
6176,111258621,X.10,GO:0031410
6177,111258621,X.11,GO:0030587
6178,111258621,X.12,GO:0031315
6179,111258621,X.13,GO:0050632
6180,111258621,X.14,GO:0017127
6181,111258621,X.15,GO:0018812
6182,111258621,X.16,GO:1904121
6183,111258621,X.17,GO:0042803
6184,111258621,X.18,GO:0015485
6185,111258621,X.19,GO:0032385
6186,111258621,X.20,GO:0005783
6187,111258621,X.21,GO:0043234
6188,111258621,X.22,GO:0005782
6189,111258621,X.23,GO:0048545
6190,111258621,X.24,GO:0007568
6191,111258621,X.25,GO:0006631
6192,111258621,X.26,GO:1904109
6193,111258621,X.27,GO:0005634
6194,111258621,X.28,GO:0004303
6195,111258621,X.29,GO:0042493
6196,111258621,X.30,GO:0044594
6197,111258621,X.31,GO:0043065
6198,111258621,X.32,GO:0032355
6199,111258621,X.33,GO:0034754
6200,111258621,X.34,GO:0034699
6201,111258621,X.35,GO:0015914
6202,111258621,X.36,GO:0070538
6203,111258621,X.37,GO:0072659
6204,111258621,X.38,GO:0019933
6303,111258622,X,GO:0005762
6304,111258622,X.1,GO:0003735
6305,111258622,X.2,GO:0032543
6440,111258623,X,GO:0005515
6441,111258623,X.1,GO:0008270
6577,111258627,X,GO:0005515
6714,111258629,X,GO:0000978
6715,111258629,X.1,GO:0060164
6716,111258629,X.2,GO:0045665
6717,111258629,X.3,GO:0021953
6718,111258629,X.4,GO:0045586
6719,111258629,X.5,GO:0021536
6720,111258629,X.6,GO:0021778
6721,111258629,X.7,GO:0045026
6722,111258629,X.8,GO:0045944
6723,111258629,X.9,GO:0044798
6724,111258629,X.10,GO:0005654
6725,111258629,X.11,GO:0051246
6726,111258629,X.12,GO:0000122
6727,111258629,X.13,GO:0001078
6728,111258629,X.14,GO:0009649
6729,111258629,X.15,GO:0046982
6730,111258629,X.16,GO:0001701
6731,111258629,X.17,GO:0048664
6732,111258629,X.18,GO:2001222
6733,111258629,X.19,GO:0016458
6734,111258629,X.20,GO:0048708
6735,111258629,X.21,GO:0040025
6736,111258629,X.22,GO:0000902
6737,111258629,X.23,GO:0090263
6738,111258629,X.24,GO:0048821
6739,111258629,X.25,GO:0003682
6740,111258629,X.26,GO:0007601
6741,111258629,X.27,GO:0071560
6742,111258629,X.28,GO:0005737
6743,111258629,X.29,GO:0016360
6744,111258629,X.30,GO:2000726
6745,111258629,X.31,GO:2000741
6746,111258629,X.32,GO:0055059
6747,111258629,X.33,GO:0032332
6851,111258633,X,GO:0005524
6852,111258633,X.1,GO:0051082
6853,111258633,X.2,GO:0006457
6854,111258633,X.3,GO:0006950
6988,111258634,X,GO:0005764
6989,111258634,X.1,GO:0006629
7125,111258635,X,GO:0006814
7126,111258635,X.1,GO:0055085
7127,111258635,X.2,GO:0001518
7128,111258635,X.3,GO:0005248
7262,111258636,X,GO:0016627
7263,111258636,X.1,GO:0050660
7264,111258636,X.2,GO:0006099
7265,111258636,X.3,GO:0022900
7399,111258637,X,GO:0005680
7400,111258637,X.1,GO:0005515
7401,111258637,X.2,GO:0030071
7536,111258638,X,GO:0005669
7537,111258638,X.1,GO:0048471
7538,111258638,X.2,GO:0005515
7539,111258638,X.3,GO:0001833
7540,111258638,X.4,GO:0006367
7541,111258638,X.5,GO:0045598
7542,111258638,X.6,GO:0045944
7543,111258638,X.7,GO:0051457
7544,111258638,X.8,GO:2000736
7673,111258640,X,GO:0008299
7810,111258644,X,GO:0008152
7811,111258644,X.1,GO:0016791
7947,111258645,X,GO:0000978
7948,111258645,X.1,GO:0060164
7949,111258645,X.2,GO:0045665
7950,111258645,X.3,GO:0021953
7951,111258645,X.4,GO:0045586
7952,111258645,X.5,GO:0021536
7953,111258645,X.6,GO:0021778
7954,111258645,X.7,GO:0045026
7955,111258645,X.8,GO:0045944
7956,111258645,X.9,GO:0044798
7957,111258645,X.10,GO:0005654
7958,111258645,X.11,GO:0051246
7959,111258645,X.12,GO:0000122
7960,111258645,X.13,GO:0001078
7961,111258645,X.14,GO:0009649
7962,111258645,X.15,GO:0046982
7963,111258645,X.16,GO:0001701
7964,111258645,X.17,GO:0048664
7965,111258645,X.18,GO:2001222
7966,111258645,X.19,GO:0016458
7967,111258645,X.20,GO:0048708
7968,111258645,X.21,GO:0040025
7969,111258645,X.22,GO:0000902
7970,111258645,X.23,GO:0090263
7971,111258645,X.24,GO:0048821
7972,111258645,X.25,GO:0003682
7973,111258645,X.26,GO:0007601
7974,111258645,X.27,GO:0071560
7975,111258645,X.28,GO:0005737
7976,111258645,X.29,GO:0016360
7977,111258645,X.30,GO:2000726
7978,111258645,X.31,GO:2000741
7979,111258645,X.32,GO:0055059
7980,111258645,X.33,GO:0032332
8084,111258646,X,GO:0016021
8085,111258646,X.1,GO:0008381
8221,111258647,X,GO:0005524
8222,111258647,X.1,GO:0072383
8223,111258647,X.2,GO:0003777
8224,111258647,X.3,GO:0000915
8225,111258647,X.4,GO:0008017
8358,111258648,X,GO:0044459
8359,111258648,X.1,GO:0005515
8360,111258648,X.2,GO:0009987
8361,111258648,X.3,GO:0048513
8495,111258649,X,GO:0004045
8632,111258651,X,GO:0005634
8633,111258651,X.1,GO:0005524
8634,111258651,X.2,GO:0006270
8635,111258651,X.3,GO:0003677
8636,111258651,X.4,GO:0003678
8637,111258651,X.5,GO:0042555
8769,111258652,X,GO:0004888
8770,111258652,X.1,GO:0034220
8771,111258652,X.2,GO:0016021
8772,111258652,X.3,GO:0005230
8906,111258653,X,GO:0015630
8907,111258653,X.1,GO:0044428
8908,111258653,X.2,GO:0044430
8909,111258653,X.3,GO:0005515
8910,111258653,X.4,GO:0006281
8911,111258653,X.5,GO:0007049
8912,111258653,X.6,GO:0050794
9043,111258654,X,GO:0005515
9180,111258655,X,GO:0016020
9317,111258656,X,GO:0007186
9318,111258656,X.1,GO:0003924
9319,111258656,X.2,GO:0019001
9320,111258656,X.3,GO:0031683
9321,111258656,X.4,GO:0004871
9454,111258661,X,GO:0003677
9455,111258661,X.1,GO:0008270
9591,111258663,X,GO:0005634
9592,111258663,X.1,GO:0004721
9728,111258664,X,GO:0051015
9729,111258664,X.1,GO:0005524
9730,111258664,X.2,GO:0016459
9731,111258664,X.3,GO:0003774
9865,111258665,X,GO:0016580
9866,111258665,X.1,GO:0005515
9867,111258665,X.2,GO:0008284
9868,111258665,X.3,GO:0030336
9869,111258665,X.4,GO:0045596
10002,111258666,X,GO:0015934
10003,111258666,X.1,GO:0003735
10004,111258666,X.2,GO:0006412
10139,111258667,X,GO:0031966
10276,111258671,X,GO:0010181
10277,111258671,X.1,GO:0003958
